Output syntax:  n vx vy vz xx xy xz m q
           2   0.0000000000000000        1000.0000000000000        0.0000000000000000        9.4999997876584526E-003   7.6000000001155490E-002   9.4999997876584526E-003   2.7328150336278240E-030   0.0000000000000000     
 

           3   0.0000000000000000        1.0000000000000000        0.0000000000000000        9.4999997876584526E-003   7.5999998323637366E-002   9.4999997876584526E-003   9.1093834454260801E-031   0.0000000000000000     
 

           9   0.0000000000000000        12000000.000000000        0.0000000000000000        9.4999997876584526E-003   7.6800000000000063E-002   9.4999997876584526E-003   9.1093834454260801E-028   0.0000000000000000     
 

          10   1000.0000000000000        14993346.096252315        444944.84125902667        9.5050997876584224E-003   7.6488363656542935E-002   1.0657191091109745E-002   2.7328150336278240E-026  -1.6021765974585869E-018
 

          11   1000.0000000000000        119999.99999987912       -2.2012771458869792E-008   1.0133399787654691E-002   7.6007999999999867E-002   9.4999997876591379E-003   9.1093834454260801E-029  -1.6021765974585869E-019
 

          12   0.0000000000000000        120988.49424638534        151.25857062230153        9.4999997876584526E-003   7.6007793126834575E-002   9.4437552244521997E-003   9.1093834454260801E-028  -1.6021765974585869E-019
 

          13   0.0000000000000000        120000.00000000000       -8.9223396166144598E-009   9.4999997876584526E-003   7.6007999999994927E-002   9.4999997876583225E-003   9.1093834454260801E-027  -1.6021765974585869E-019
 

          14   3400.0000000000000        119923.24268685412       -65.022050004829751        1.1653559787656651E-002   7.6007620856617372E-002   9.5001660989656577E-003   9.1093834454260801E-028  -4.0054414936464673E-018
 

          16   0.0000000000000000        119999.99999979952       -3.1061608808528384E-007   9.4999997876584526E-003   7.6007999999998632E-002   9.4999997876593148E-003   9.1093834454260801E-028  -2.0828295766961630E-018
 

          17   0.0000000000000000        120000.00000088850        6.0870211973586279E-007   9.4999997876584526E-003   7.6007999999999215E-002   9.4999997876596860E-003   9.1093834454260801E-028   6.7291417093260651E-018
 

          18   42.665999999999997        120000.00000160796        6.5525270642738664E-007   9.5270244320608943E-003   7.6007999999998591E-002   9.4999997876621424E-003   9.1093834454260801E-028   4.0054414936464673E-018
 

          19   42.665999999999997        114197.65711217311       -8217.5396885076716        9.5270158988608935E-003   7.6001898367075299E-002   9.4636499963278321E-003   9.1093834454260801E-028   4.0054414936464673E-018
 

12
